date,temp_max,temp_min,temp_mean,precipitation,wind_speed,humidity,cloud_cover,rain_probability,sunshine_duration,uv_index,city
2023-01-01,29.5,22.0,25.9,0.6,13.8,62,78,100.0,33422.99,7.0,Ho Chi Minh City
2023-01-02,32.4,22.4,26.5,2.3,12.6,72,92,100.0,35305.33,7.0,Ho Chi Minh City
2023-01-03,32.3,22.9,26.7,0.2,17.2,78,77,0.0,32261.73,7.0,Ho Chi Minh City
2023-01-04,31.7,23.2,26.9,0.3,20.5,66,100,0.0,17198.61,7.0,Ho Chi Minh City
2023-01-05,26.9,22.7,24.5,3.5,19.3,75,100,100.0,0.0,7.0,Ho Chi Minh City
2023-01-06,28.1,20.9,23.9,20.3,18.9,77,100,100.0,17258.9,7.0,Ho Chi Minh City
2023-01-07,27.7,21.4,23.7,27.1,19.6,80,99,100.0,10387.75,7.0,Ho Chi Minh City
2023-01-08,27.1,20.8,23.7,0.5,9.3,84,99,0.0,6980.76,7.0,Ho Chi Minh City
2023-01-09,27.7,23.0,24.8,17.0,11.5,89,95,100.0,23987.11,7.0,Ho Chi Minh City
2023-01-10,26.3,23.0,24.5,14.2,18.7,88,97,100.0,9033.81,7.0,Ho Chi Minh City
2023-01-11,28.7,23.3,25.5,0.7,18.7,82,70,100.0,37735.26,7.0,Ho Chi Minh City
2023-01-12,28.6,23.1,25.5,3.8,14.1,84,62,100.0,37361.38,7.0,Ho Chi Minh City
2023-01-13,29.9,22.6,26.0,2.3,8.8,86,92,100.0,37989.33,7.0,Ho Chi Minh City
2023-01-14,31.2,23.0,26.8,0.2,9.3,83,50,0.0,40285.28,7.0,Ho Chi Minh City
2023-01-15,30.9,22.8,26.5,0.0,12.0,82,48,0.0,33190.26,7.0,Ho Chi Minh City
2023-01-16,30.5,23.2,26.5,0.3,13.8,80,50,0.0,40603.56,7.0,Ho Chi Minh City
2023-01-17,30.3,21.3,25.6,0.1,14.5,80,91,0.0,39442.64,7.0,Ho Chi Minh City
2023-01-18,30.1,20.4,25.3,0.0,11.9,75,100,0.0,40159.73,7.0,Ho Chi Minh City
2023-01-19,30.6,21.8,25.8,0.0,12.3,71,99,0.0,34328.08,7.0,Ho Chi Minh City
2023-01-20,31.1,21.8,26.4,0.0,9.9,75,98,0.0,38632.42,7.0,Ho Chi Minh City
2023-01-21,31.7,22.1,27.0,0.1,11.0,72,94,0.0,40744.6,7.0,Ho Chi Minh City
2023-01-22,31.5,23.2,27.1,0.3,10.7,79,96,0.0,37093.76,7.0,Ho Chi Minh City
2023-01-23,32.5,23.1,27.4,0.4,12.9,77,89,0.0,40545.04,7.0,Ho Chi Minh City
2023-01-24,32.5,23.3,27.4,0.6,10.8,74,90,100.0,39803.95,7.0,Ho Chi Minh City
2023-01-25,32.1,22.2,26.2,0.0,18.4,62,100,0.0,37538.33,7.0,Ho Chi Minh City
2023-01-26,32.3,21.4,26.4,0.0,10.1,62,97,0.0,39123.41,7.0,Ho Chi Minh City
2023-01-27,32.3,21.9,26.5,1.8,16.9,75,87,100.0,29356.48,7.0,Ho Chi Minh City
2023-01-28,32.3,23.2,27.1,0.0,16.2,55,94,0.0,34549.76,7.0,Ho Chi Minh City
2023-01-29,31.0,21.6,25.6,0.0,9.7,57,93,0.0,32174.56,7.0,Ho Chi Minh City
2023-01-30,31.4,20.4,25.3,0.0,12.0,59,75,0.0,40941.52,7.0,Ho Chi Minh City
2023-01-31,32.4,20.8,26.3,0.0,18.4,69,55,0.0,40958.55,7.0,Ho Chi Minh City
2023-02-01,32.0,22.9,27.1,1.4,12.3,69,76,100.0,29335.0,7.0,Ho Chi Minh City
2023-02-02,33.6,23.9,27.9,1.4,17.4,71,48,100.0,40743.66,7.0,Ho Chi Minh City
2023-02-03,34.8,24.2,28.7,0.0,18.8,63,87,0.0,40512.49,7.0,Ho Chi Minh City
2023-02-04,34.7,23.2,28.4,0.3,17.8,62,63,0.0,40770.92,7.0,Ho Chi Minh City
