date,temp_max,temp_min,temp_mean,precipitation,wind_speed,humidity,cloud_cover,rain_probability,sunshine_duration,uv_index,city
2026-05-17,,,,0.0,,75.0,50.0,0.0,,7.0,Ho Chi Minh City
2026-05-18,,,,0.0,,75.0,50.0,0.0,,7.0,Ho Chi Minh City
2026-05-19,,,,0.0,,75.0,50.0,0.0,,7.0,Ho Chi Minh City
2026-05-20,,,,0.0,,75.0,50.0,0.0,,7.0,Ho Chi Minh City
2026-05-21,,,,0.0,,75.0,50.0,0.0,,7.0,Ho Chi Minh City
2026-05-22,,,,0.0,,75.0,50.0,0.0,,7.0,Ho Chi Minh City
2026-05-23,,,,0.0,,75.0,50.0,0.0,,7.0,Ho Chi Minh City
2026-05-24,,,,0.0,,75.0,50.0,0.0,,7.0,Ho Chi Minh City
2026-05-25,,,,0.0,,75.0,50.0,0.0,,7.0,Ho Chi Minh City
2026-05-26,,,,0.0,,75.0,50.0,0.0,,7.0,Ho Chi Minh City
2026-05-27,,,,0.0,,75.0,50.0,0.0,,7.0,Ho Chi Minh City
2026-05-28,,,,0.0,,75.0,50.0,0.0,,7.0,Ho Chi Minh City
2026-05-29,,,,0.0,,75.0,50.0,0.0,,7.0,Ho Chi Minh City
2026-05-30,,,,0.0,,75.0,50.0,0.0,,7.0,Ho Chi Minh City
2026-05-31,,,,0.0,,75.0,50.0,0.0,,7.0,Ho Chi Minh City
2026-06-01,,,,0.0,,75.0,50.0,0.0,,7.0,Ho Chi Minh City
2026-06-02,,,,0.0,,75.0,50.0,0.0,,7.0,Ho Chi Minh City
2026-06-03,,,,0.0,,75.0,50.0,0.0,,7.0,Ho Chi Minh City
2026-06-04,,,,0.0,,75.0,50.0,0.0,,7.0,Ho Chi Minh City
2026-06-05,,,,0.0,,75.0,50.0,0.0,,7.0,Ho Chi Minh City
2026-06-06,,,,0.0,,75.0,50.0,0.0,,7.0,Ho Chi Minh City
2026-06-07,,,,0.0,,75.0,50.0,0.0,,7.0,Ho Chi Minh City
2026-06-08,,,,0.0,,75.0,50.0,0.0,,7.0,Ho Chi Minh City
2026-06-09,,,,0.0,,75.0,50.0,0.0,,7.0,Ho Chi Minh City
2026-06-10,,,,0.0,,75.0,50.0,0.0,,7.0,Ho Chi Minh City
2026-06-11,,,,0.0,,75.0,50.0,0.0,,7.0,Ho Chi Minh City
2026-06-12,,,,0.0,,75.0,50.0,0.0,,7.0,Ho Chi Minh City
2026-06-13,,,,0.0,,75.0,50.0,0.0,,7.0,Ho Chi Minh City
2026-06-14,,,,0.0,,75.0,50.0,100.0,,7.0,Ho Chi Minh City
2026-06-15,29.3,27.8,,0.0,6.1,75.0,50.0,96.0,,7.0,Ho Chi Minh City
2026-06-16,33.5,26.3,29.3,9.7,9.5,81.0,93.0,87.0,34782.98,7.0,Ho Chi Minh City
2026-06-17,33.7,26.3,29.4,4.0,8.4,79.0,96.0,86.0,39518.0,7.0,Ho Chi Minh City
2026-06-18,33.2,25.7,28.5,4.8,8.8,81.0,98.0,73.0,43008.57,7.0,Ho Chi Minh City
2026-06-19,33.6,25.1,28.7,0.6,11.7,80.0,93.0,39.0,43200.0,7.75,Ho Chi Minh City
2026-06-20,34.2,25.7,29.0,1.3,14.4,80.0,56.0,76.0,43200.0,8.3,Ho Chi Minh City
2026-06-21,34.0,25.9,29.7,1.1,7.4,76.0,71.0,47.0,43200.0,8.75,Ho Chi Minh City
2026-06-22,34.5,26.2,30.0,1.3,8.8,75.0,67.0,81.0,43200.0,8.75,Ho Chi Minh City
2026-06-23,32.5,25.2,28.6,12.8,11.2,83.0,92.0,80.0,36480.46,5.9,Ho Chi Minh City
2026-06-24,35.2,25.8,29.4,4.2,15.3,79.0,74.0,78.0,42745.23,8.4,Ho Chi Minh City
2026-06-25,34.2,25.5,28.7,8.9,19.9,79.0,68.0,96.0,35131.61,6.15,Ho Chi Minh City
2026-06-26,33.1,25.3,28.7,2.2,11.8,80.0,49.0,78.0,43200.0,7.9,Ho Chi Minh City
2026-06-27,33.8,25.7,29.2,0.8,16.1,77.0,72.0,91.0,41671.36,8.55,Ho Chi Minh City
2026-06-28,32.3,26.3,27.6,22.0,19.3,88.0,92.0,100.0,27227.34,7.75,Ho Chi Minh City
